Date, Close/Last, Volume, Open, High, Low
09/13/2018, 2905.3, 123, 2890, 2899, 2885.5
09/12/2018, 2888.4, 56, 2890, 2894, 2887.3
09/11/2018, 2889.8, 20, 2884.5, 2884.5, 2870.5
09/10/2018, 2880.3, 58, 2878.4, 2886.4, 2877.8
09/07/2018, 2874.7, 93, 2878.2, 2880.7, 2867.2
09/06/2018, 2879.1, 56, 2888.5, 2891.9, 2883.7
09/05/2018, 2888.3, 227, 2896.3, 2896.3, 2885.2
09/04/2018, 2898.3, 121, 2906.8, 2912.3, 2894.5
08/31/2018, 2902.1, 54, 2906.8, 2912.3, 2905
08/30/2018, 2902, 31, 2916, 2916, 2908
08/29/2018, 2914.7, 15, 2901.7, 2915, 2900.3
08/28/2018, 2899.3, 48, 2901, 2903.3, 2899.7
08/27/2018, 2898.4, 31, 2881, 2899, 2880.5
08/24/2018, 2876.7, 43, 2857.8, 2866.2, 2857.8
08/23/2018, 2858, 26, 2864, 2864, 2858.5
08/22/2018, 2861.2, 42, 2853.4, 2861.8, 2846.5
08/21/2018, 2861.7, 30, 2858, 2864.3, 2855.4
08/20/2018, 2858.6, 52, 2851.7, 2859, 2851.7
08/17/2018, 2852.2, 45, 2840.8, 2848, 2837.5
08/16/2018, 2844.7, 51, 2818, 2836.4, 2818
08/15/2018, 2821.2, 71, 2841.7, 2841.7, 2823
08/14/2018, 2841, 91, 2828.6, 2838, 2828.6
08/13/2018, 2825.5, 260, 2830.4, 2836.5, 2821.2
08/10/2018, 2836.8, 16, 2847, 2847, 2836.7
08/09/2018, 2853.8, 48, 2855.3, 2859.8, 2853
08/08/2018, 2855.3, 47, 2860.8, 2861.1, 2853
08/07/2018, 2859.7, 106, 2851.5, 2857.3, 2851.5
08/06/2018, 2850.1, 29, 2842.2, 2844, 2837.5
08/03/2018, 2839.5, 22, 2830.3, 2835, 2826.9
08/02/2018, 2828.4, 71, 2813.8, 2814.6, 2791.9
08/01/2018, 2810.8, 22, 2814.3, 2820, 2810.4
07/31/2018, 2817.1, 23, 2803.7, 2824.4, 2803.6
07/30/2018, 2803.2, 41, 2810.6, 2818.3, 2806.9
07/27/2018, 2817.5, 22, 2844.8, 2845.9, 2840
07/26/2018, 2842.5, 47, 2836.8, 2839, 2834.1
07/25/2018, 2841.3, 16, 2816, 2820.4, 2816
07/24/2018, 2821, 23, 2812.9, 2824.6, 2812.9
07/23/2018, 2812, 53, 2799.8, 2810.9, 2792.6
07/20/2018, 2800.8, 72, 2807.2, 2809.1, 2794.6
07/19/2018, 2805.3, 25, 2815.7, 2815.7, 2807.7
07/18/2018, 2816, 40, 2814.3, 2814.3, 2808
07/17/2018, 2811.3, 16, 2796.8, 2812.8, 2790.9
07/16/2018, 2796.5, 28, 2808, 2808, 2796.2
07/13/2018, 2803.2, 64, 2801, 2807, 2798
07/12/2018, 2798.5, 113, 2776.1, 2797.8, 2776.1
07/11/2018, 2774.1, 168, 2782.9, 2785.6, 2766.7
07/10/2018, 2796.7, 120, 2787.2, 2797, 2781.3
07/09/2018, 2787.4, 119, 2763.6, 2773.8, 2763.6
07/06/2018, 2762.9, 149, 2735.3, 2762.8, 2732.5
07/05/2018, 2738.6, 293, 2711.7, 2739.4, 2711.7
07/03/2018, 2713.3, 6, 2711.7, 2719.6, 2711.7
07/02/2018, 2727.3, 179, 2723.7, 2727.7, 2699.4
06/29/2018, 2721.6, 95, 2720.9, 2735.9, 2718.6
06/28/2018, 2719.5, 227, 2704.8, 2720, 2694.7
06/27/2018, 2704.9, 135, 2727.3, 2732.3, 2705.3
06/26/2018, 2728.5, 72, 2723.9, 2728, 2716.7
06/25/2018, 2722.3, 69, 2757.5, 2757.5, 2721.5
06/22/2018, 2759.5, 73, 2750.2, 2768, 2750.2
06/21/2018, 2752.5, 91, 2783, 2783.7, 2762.3
06/20/2018, 2772, 183, 2767.3, 2776.3, 2763.6
06/19/2018, 2766.2, 153, 2774.4, 2774.4, 2737
06/18/2018, 2779.7, 60, 2781, 2781, 2765
06/15/2018, 2784.4, 57, 2785.3, 2785.3, 2772.4
06/14/2018, 2788.4, 116, 2780.7, 2788.9, 2772.6
06/13/2018, 2779, 38, 2791.1, 2795, 2790.2
